Risk Category,Risk Item,Current Controls,Control Effectiveness (1-5),Likelihood (1-5),Impact (1-5),Risk Score,Mitigation Required,Responsible Party,Due Date,Notes
Administrative Safeguards,Assigned Security Responsibility,CISO designated,4,2,4,8,Medium,CISO,2024-06-01,Review annually
Administrative Safeguards,Information Access Management,Role-based access controls,3,3,4,12,High,IT Security,2024-05-01,Need automated provisioning
Administrative Safeguards,Workforce Training,Annual HIPAA training,3,3,3,9,Medium,HR,2024-07-01,Add security awareness training
Administrative Safeguards,Information Access Management Review,Quarterly access reviews,2,4,4,16,Critical,IT Security,2024-04-01,Need monthly reviews
Administrative Safeguards,Security Awareness Training,Basic training only,2,4,3,12,High,HR,2024-05-15,Implement comprehensive program
Administrative Safeguards,Contingency Plan,Basic BCP exists,3,3,5,15,Critical,Operations,2024-04-15,Test and update plan
Administrative Safeguards,Evaluation Procedures,Annual assessments,3,2,3,6,Low,Compliance,2024-12-01,Adequate current process
Physical Safeguards,Facility Access Controls,Badge system + guards,4,2,3,6,Low,Facilities,2024-08-01,Consider biometric access
Physical Safeguards,Workstation Use Restrictions,Basic screen locks,2,4,3,12,High,IT Security,2024-05-01,Implement endpoint controls
Physical Safeguards,Device and Media Controls,Basic inventory,2,4,4,16,Critical,IT Security,2024-04-01,Need comprehensive MDM
Physical Safeguards,Workstation Physical Security,Shared workstations,2,3,4,12,High,Facilities,2024-06-01,Implement dedicated stations
Physical Safeguards,Disposal of Media,Basic wiping procedures,3,3,3,9,Medium,IT Security,2024-07-01,Need certified destruction
Physical Safeguards,Data Backup Storage,Offsite tape backup,3,2,5,10,High,IT Operations,2024-05-01,Add cloud backup
Technical Safeguards,Access Control Systems,Basic AD authentication,3,3,4,12,High,IT Security,2024-05-01,Implement MFA
Technical Safeguards,Audit Controls,Basic logging enabled,2,3,4,12,High,IT Security,2024-04-15,Need SIEM implementation
Technical Safeguards,Data Integrity Controls,Basic checksums,2,3,5,15,Critical,IT Security,2024-04-01,Implement file integrity monitoring
Technical Safeguards,Person Authentication,Password only,2,4,4,16,Critical,IT Security,2024-03-15,Implement multi-factor authentication
Technical Safeguards,Transmission Security,Basic encryption,3,3,4,12,High,Network Admin,2024-05-01,Upgrade to TLS 1.3
Technical Safeguards,Automatic Logoff,30-minute timeout,3,3,2,6,Low,IT Security,2024-08-01,Consider reducing to 15 minutes
Technical Safeguards,Encryption and Decryption,Partial encryption,2,4,5,20,Critical,IT Security,2024-03-01,Implement full disk encryption
Network Security,Firewall Configuration,Basic firewall rules,3,3,4,12,High,Network Admin,2024-05-01,Review and update rules
Network Security,Intrusion Detection,Basic IDS,2,4,4,16,Critical,IT Security,2024-04-01,Upgrade to IPS with AI detection
Network Security,Network Segmentation,Flat network,1,4,5,20,Critical,Network Admin,2024-03-15,Implement VLAN segmentation
Network Security,Wireless Security,WPA2 encryption,3,3,3,9,Medium,Network Admin,2024-06-01,Upgrade to WPA3
Network Security,Remote Access Controls,Basic VPN,2,4,4,16,Critical,IT Security,2024-04-01,Implement zero-trust access
Network Security,DDoS Protection,ISP basic protection,2,3,3,9,Medium,Network Admin,2024-07-01,Consider cloud-based protection
Endpoint Security,Antivirus/Anti-malware,Signature-based AV,2,4,4,16,Critical,IT Security,2024-03-15,Deploy next-gen endpoint protection
Endpoint Security,Patch Management,Manual patching,2,4,5,20,Critical,IT Operations,2024-03-01,Implement automated patching
Endpoint Security,Application Control,No application restrictions,1,4,4,16,Critical,IT Security,2024-04-01,Implement application whitelisting
