Assessment Category,Risk Factor,Weight,Score (1-5),Weighted Score,Risk Level,Comments,Mitigation Required,Action Items,Responsible Party,Due Date
General Information,Vendor Name,N/A,N/A,N/A,N/A,[Vendor Company Name],N/A,Document vendor details,Procurement,
General Information,Service Type,N/A,N/A,N/A,N/A,[Description of services],N/A,Categorize service type,Procurement,
General Information,Contract Value,N/A,N/A,N/A,N/A,[Annual contract value],N/A,Document financial exposure,Finance,
General Information,Data Access Level,N/A,N/A,N/A,N/A,[PHI/PII/Internal/Public],N/A,Classify data sensitivity,Privacy Officer,
General Information,Criticality Level,N/A,N/A,N/A,N/A,[Critical/High/Medium/Low],N/A,Assess business criticality,Operations,
Security Controls,Data Encryption at Rest,5,3,15,Medium,Basic encryption implemented,Yes,Require AES-256 encryption,IT Security,2024-06-01
Security Controls,Data Encryption in Transit,5,4,20,Low,TLS 1.3 implemented,No,Current implementation adequate,IT Security,
Security Controls,Access Control Management,4,2,8,High,Basic username/password only,Yes,Require multi-factor authentication,IT Security,2024-05-01
Security Controls,Security Monitoring and Logging,4,3,12,Medium,Basic logging in place,Yes,Require SIEM integration,IT Security,2024-07-01
Security Controls,Vulnerability Management,4,2,8,High,No formal program,Yes,Require regular vulnerability scans,IT Security,2024-05-15
Security Controls,Incident Response Plan,4,3,12,Medium,Plan exists but not tested,Yes,Require annual testing,IT Security,2024-08-01
Security Controls,Security Awareness Training,3,3,9,Medium,Annual training provided,No,Adequate current training,HR,
Security Controls,Penetration Testing,3,2,6,High,No recent testing,Yes,Require annual pen testing,IT Security,2024-06-01
Security Controls,Network Segmentation,4,2,8,High,Flat network architecture,Yes,Implement network segmentation,Network Admin,2024-07-01
Security Controls,Endpoint Protection,3,4,12,Low,Next-gen endpoint protection,No,Current solution adequate,IT Security,
Compliance,HIPAA Compliance Program,5,3,15,Medium,Program exists but gaps identified,Yes,Conduct compliance audit,Compliance,2024-05-01
Compliance,SOC 2 Type II Report,4,4,16,Low,Current report available,No,Annual report review adequate,Compliance,
Compliance,HITECH Compliance,4,3,12,Medium,Compliance claimed but not verified,Yes,Request compliance documentation,Compliance,2024-06-01
Compliance,State Privacy Law Compliance,3,3,9,Medium,Multi-state compliance claimed,Yes,Verify state-specific compliance,Legal,2024-07-01
Compliance,Industry Certifications,3,4,12,Low,ISO 27001 and others,No,Certifications current and valid,Compliance,
Compliance,Business Associate Agreement,5,4,20,Low,Comprehensive BAA in place,No,BAA adequately addresses risks,Legal,
Compliance,Data Breach History,4,2,8,High,Two breaches in past 3 years,Yes,Enhanced monitoring required,Risk Management,2024-05-01
Compliance,Regulatory Audit History,3,3,9,Medium,Clean audit record,No,No additional action needed,Compliance,
Data Management,Data Classification,4,3,12,Medium,Basic classification scheme,Yes,Align with organizational standards,Privacy Officer,2024-06-01
Data Management,Data Retention Policies,4,4,16,Low,Comprehensive retention policies,No,Policies meet requirements,Compliance,
Data Management,Secure Data Disposal,4,2,8,High,Basic deletion procedures,Yes,Require certified disposal,IT Security,2024-05-15
Data Management,Data Location/Residency,5,3,15,Medium,US-based but some offshore,Yes,Restrict to domestic processing,Legal,2024-07-01
Data Management,Data Backup Procedures,4,4,16,Low,Comprehensive backup program,No,Backup procedures adequate,IT Operations,
Data Management,Data Recovery Testing,3,2,6,High,No regular testing,Yes,Require quarterly recovery tests,IT Operations,2024-06-01
Data Management,Data Minimization,3,3,9,Medium,Some minimization practices,Yes,Enhance data minimization,Privacy Officer,2024-08-01
Data Management,Data Quality Controls,3,3,9,Medium,Basic quality controls,No,Adequate for current needs,Operations,
Operational Risk,Business Continuity Plan,4,3,12,Medium,Plan exists but not tested,Yes,Require annual BCP testing,Operations,2024-06-01
Operational Risk,Disaster Recovery Plan,4,3,12,Medium,DR plan documented,Yes,Test DR procedures,IT Operations,2024-07-01
Operational Risk,Service Level Agreements,4,4,16,Low,Comprehensive SLA in place,No,SLA meets requirements,Operations,
Operational Risk,Financial Stability,4,4,16,Low,Strong financial position,No,No concerns identified,Finance,
Operational Risk,Geographic Diversity,3,2,6,High,Single data center location,Yes,Require geographic redundancy,Operations,2024-08-01
Operational Risk,Vendor Dependencies,3,3,9,Medium,Multiple sub-vendors,Yes,Document sub-vendor risks,Procurement,2024-06-01
Operational Risk,Scalability,3,4,12,Low,Demonstrated scalability,No,Adequate scalability,Operations,
Operational Risk,Service Availability,4,4,16,Low,99.9% uptime SLA,No,Availability meets requirements,Operations,
Personnel Security,Background Checks,4,3,12,Medium,Basic background checks,Yes,Require enhanced screening,HR,2024-06-01
Personnel Security,Security Clearances,3,2,6,High,No clearances required/held,Yes,Assess clearance requirements,Security,2024-07-01
Personnel Security,Access Management,4,2,8,High,Manual access provisioning,Yes,Implement automated access mgmt,IT Security,2024-05-01
